geoid,city_name,latitude,longitude,country_code,country_code_3,country_name,country_capital,population,timezone
1148311,Asadabad,34.87311,71.14697,AF,AFG,Afghanistan,Kabul,48400,Asia/Kabul
1148658,Andkhoy,36.95293,65.12376,AF,AFG,Afghanistan,Kabul,29208,Asia/Kabul
1429434,Bazarak,35.31292,69.51519,AF,AFG,Afghanistan,Kabul,65000,Asia/Kabul
1469706,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,AFG,Afghanistan,Kabul,15098,Asia/Kabul
3576022,Saint John's,17.11717,-61.84573,AG,ATG,Antigua and Barbuda,St. John's,24226,America/Antigua
3573374,The Valley,18.21704,-63.05783,AI,AIA,Anguilla,The Valley,2035,America/Anguilla
363243,Sarande,39.87556,20.00528,AL,ALB,Albania,Tirana,15147,Europe/Tirane
782661,Kukes,42.07694,20.42194,AL,ALB,Albania,Tirana,17832,Europe/Tirane
782756,Korce,40.61861,20.78083,AL,ALB,Albania,Tirana,58259,Europe/Tirane
783148,Gjirokaster,40.07583,20.13889,AL,ALB,Albania,Tirana,23437,Europe/Tirane
783263,Elbasan,41.1125,20.08222,AL,ALB,Albania,Tirana,100903,Europe/Tirane
783493,Burrel,41.61028,20.00889,AL,ALB,Albania,Tirana,15405,Europe/Tirane
3183719,Vlore,40.46667,19.48972,AL,ALB,Albania,Tirana,89546,Europe/Tirane
3183875,Tirana,41.3275,19.81889,AL,ALB,Albania,Tirana,374801,Europe/Tirane
3184081,Shkoder,42.06828,19.51258,AL,ALB,Albania,Tirana,88245,Europe/Tirane
3184517,Patos Fshat,40.64278,19.65083,AL,ALB,Albania,Tirana,22679,Europe/Tirane
3184862,Lushnje,40.94194,19.705,AL,ALB,Albania,Tirana,41469,Europe/Tirane
3184935,Lezhe,41.78361,19.64361,AL,ALB,Albania,Tirana,18695,Europe/Tirane
3185012,Lac,41.63556,19.71306,AL,ALB,Albania,Tirana,24825,Europe/Tirane
3185060,Kucove,40.80028,19.91667,AL,ALB,Albania,Tirana,18166,Europe/Tirane
3185082,Kruje,41.50917,19.79278,AL,ALB,Albania,Tirana,21286,Europe/Tirane
3185211,Kavaje,41.18556,19.55694,AL,ALB,Albania,Tirana,29354,Europe/Tirane
3185670,Fier-Cifci,40.71667,19.56667,AL,ALB,Albania,Tirana,60995,Europe/Tirane
3185672,Fier,40.72389,19.55611,AL,ALB,Albania,Tirana,56297,Europe/Tirane
3185728,Durres,41.32306,19.44139,AL,ALB,Albania,Tirana,122034,Europe/Tirane
3186084,Berat,40.70583,19.95222,AL,ALB,Albania,Tirana,46866,Europe/Tirane
174875,Kapan,39.20755,46.40576,AM,ARM,Armenia,Yerevan,33160,Asia/Yerevan
174895,Goris,39.51111,46.34168,AM,ARM,Armenia,Yerevan,20379,Asia/Yerevan
174972,Hats'avan,39.46405,45.97047,AM,ARM,Armenia,Yerevan,15208,Asia/Yerevan
174979,Artashat,39.96144,44.54447,AM,ARM,Armenia,Yerevan,20562,Asia/Yerevan
174991,Ararat,39.83069,44.70569,AM,ARM,Armenia,Yerevan,28832,Asia/Yerevan
616052,Yerevan,40.18111,44.51361,AM,ARM,Armenia,Yerevan,1093485,Asia/Yerevan
616062,Ejmiatsin,40.16557,44.29462,AM,ARM,Armenia,Yerevan,49513,Asia/Yerevan
616194,Step'anavan,41.00995,44.38531,AM,ARM,Armenia,Yerevan,23782,Asia/Yerevan
616199,Spitak,40.83221,44.26731,AM,ARM,Armenia,Yerevan,15059,Asia/Yerevan
616250,Sevan,40.5473,44.94171,AM,ARM,Armenia,Yerevan,17083,Asia/Yerevan
616435,Masis,40.06542,44.41618,AM,ARM,Armenia,Yerevan,18911,Asia/Yerevan
616530,Vanadzor,40.80456,44.4939,AM,ARM,Armenia,Yerevan,101098,Asia/Yerevan
616599,Gavarr,40.35398,45.12386,AM,ARM,Armenia,Yerevan,21680,Asia/Yerevan
616629,Hrazdan,40.49748,44.7662,AM,ARM,Armenia,Yerevan,40795,Asia/Yerevan
616631,Armavir,40.15446,44.03815,AM,ARM,Armenia,Yerevan,25963,Asia/Yerevan
616635,Gyumri,40.7942,43.84528,AM,ARM,Armenia,Yerevan,148381,Asia/Yerevan
616877,Ashtarak,40.2991,44.36204,AM,ARM,Armenia,Yerevan,18779,Asia/Yerevan
617026,Abovyan,40.27368,44.63348,AM,ARM,Armenia,Yerevan,35673,Asia/Yerevan
145531,Saurimo,-9.66078,20.39155,AO,AGO,Angola,Luanda,40498,Africa/Luanda
145724,Lucapa,-8.41915,20.74466,AO,AGO,Angola,Luanda,20115,Africa/Luanda
876177,Luau,-10.70727,22.22466,AO,AGO,Angola,Luanda,18465,Africa/Luanda
2236568,Uige,-7.60874,15.06131,AO,AGO,Angola,Luanda,60008,Africa/Luanda
2236967,Soio,-6.1349,12.36894,AO,AGO,Angola,Luanda,67491,Africa/Luanda
2239001,Nzeto,-7.23116,12.8666,AO,AGO,Angola,Luanda,18352,Africa/Luanda
2239076,N'dalatando,-9.29782,14.91162,AO,AGO,Angola,Luanda,383100,Africa/Luanda
2239520,Mbanza Congo,-6.26703,14.2401,AO,AGO,Angola,Luanda,24220,Africa/Luanda
2239862,Malanje,-9.54015,16.34096,AO,AGO,Angola,Luanda,87046,Africa/Luanda
2240449,Luanda,-8.83682,13.23432,AO,AGO,Angola,Luanda,2776168,Africa/Luanda
2242001,Caxito,-8.57848,13.66425,AO,AGO,Angola,Luanda,28224,Africa/Luanda
2243271,Cabinda,-5.55,12.2,AO,AGO,Angola,Luanda,66020,Africa/Luanda
3346015,Sumbe,-11.20605,13.84371,AO,AGO,Angola,Luanda,33277,Africa/Luanda
3347019,Namibe,-15.19611,12.15222,AO,AGO,Angola,Luanda,80149,Africa/Luanda
3347353,Menongue,-14.6585,17.69099,AO,AGO,Angola,Luanda,32203,Africa/Luanda
3347719,Luena,-11.78333,19.91667,AO,AGO,Angola,Luanda,21115,Africa/Luanda
3347762,Lubango,-14.91717,13.4925,AO,AGO,Angola,Luanda,102541,Africa/Luanda
3347853,Longonjo,-12.90667,15.25333,AO,AGO,Angola,Luanda,24346,Africa/Luanda
3347939,Lobito,-12.3644,13.53601,AO,AGO,Angola,Luanda,207932,Africa/Luanda
3348078,Cuito,-12.38333,16.93333,AO,AGO,Angola,Luanda,113624,Africa/Luanda
3348313,Huambo,-12.77611,15.73917,AO,AGO,Angola,Luanda,226145,Africa/Luanda
3350246,Catumbela,-12.43002,13.54677,AO,AGO,Angola,Luanda,16977,Africa/Luanda
3350372,Catabola,-12.15,17.28333,AO,AGO,Angola,Luanda,18855,Africa/Luanda
3351014,Camacupa,-12.01667,17.48333,AO,AGO,Angola,Luanda,19150,Africa/Luanda
3351024,Caluquembe,-13.78333,14.68333,AO,AGO,Angola,Luanda,30300,Africa/Luanda
3351500,Caala,-12.8525,15.56056,AO,AGO,Angola,Luanda,21205,Africa/Luanda
3351663,Benguela,-12.57626,13.40547,AO,AGO,Angola,Luanda,151226,Africa/Luanda
3427213,Zarate,-34.09814,-59.02858,AR,ARG,Argentina,Buenos Aires,88781,America/Argentina/Buenos_Aires
3427388,Villa Ocampo,-28.48752,-59.35515,AR,ARG,Argentina,Buenos Aires,19101,America/Argentina/Cordoba
3427408,Villa Lugano,-34.67907,-58.47263,AR,ARG,Argentina,Buenos Aires,114000,America/Argentina/Buenos_Aires
3427428,Villaguay,-31.8653,-59.02689,AR,ARG,Argentina,Buenos Aires,32027,America/Argentina/Cordoba
3427431,Villa Gesell,-37.26394,-56.97304,AR,ARG,Argentina,Buenos Aires,23257,America/Argentina/Buenos_Aires
3427761,Tigre,-34.42603,-58.57962,AR,ARG,Argentina,Buenos Aires,31106,America/Argentina/Buenos_Aires
3427833,Tandil,-37.32167,-59.13316,AR,ARG,Argentina,Buenos Aires,104325,America/Argentina/Buenos_Aires
3428068,San Vicente,-26.61667,-54.13333,AR,ARG,Argentina,Buenos Aires,38247,America/Argentina/Cordoba
3428071,Santo Tome,-28.54939,-56.04077,AR,ARG,Argentina,Buenos Aires,22634,America/Argentina/Cordoba
3428359,Santa Elena,-30.94768,-59.78696,AR,ARG,Argentina,Buenos Aires,18410,America/Argentina/Cordoba
3428577,San Pedro,-26.62207,-54.10842,AR,ARG,Argentina,Buenos Aires,23736,America/Argentina/Cordoba
3428708,San Luis del Palmar,-27.5079,-58.55454,AR,ARG,Argentina,Buenos Aires,15347,America/Argentina/Cordoba
3428759,San Lorenzo,-28.13306,-58.76733,AR,ARG,Argentina,Buenos Aires,47626,America/Argentina/Cordoba
3428975,San Javier,-30.57781,-59.9317,AR,ARG,Argentina,Buenos Aires,15606,America/Argentina/Cordoba
3428992,San Isidro,-34.4721,-58.52708,AR,ARG,Argentina,Buenos Aires,45190,America/Argentina/Buenos_Aires
3429403,Saladas,-28.25384,-58.62591,AR,ARG,Argentina,Buenos Aires,18349,America/Argentina/Cordoba
3429576,Retiro,-34.58333,-58.38333,AR,ARG,Argentina,Buenos Aires,38635,America/Argentina/Buenos_Aires
3429577,Resistencia,-27.46056,-58.98389,AR,ARG,Argentina,Buenos Aires,387158,America/Argentina/Cordoba
3429594,Reconquista,-29.15,-59.65,AR,ARG,Argentina,Buenos Aires,90184,America/Argentina/Cordoba
3429652,Quilmes,-34.72904,-58.26374,AR,ARG,Argentina,Buenos Aires,518788,America/Argentina/Buenos_Aires
3429732,Puerto Rico,-26.79598,-55.02402,AR,ARG,Argentina,Buenos Aires,17491,America/Argentina/Cordoba
3429777,Puerto Iguazu,-25.59912,-54.57355,AR,ARG,Argentina,Buenos Aires,32038,America/Argentina/Cordoba
3429786,Puerto Esperanza,-26.01517,-54.67306,AR,ARG,Argentina,Buenos Aires,15579,America/Argentina/Cordoba
3429790,Puerto Eldorado,-26.40843,-54.69463,AR,ARG,Argentina,Buenos Aires,54189,America/Argentina/Cordoba
3429886,Posadas,-27.36708,-55.89608,AR,ARG,Argentina,Buenos Aires,323739,America/Argentina/Cordoba
3429902,Pontevedra,-34.74785,-58.70072,AR,ARG,Argentina,Buenos Aires,33515,America/Argentina/Buenos_Aires
3429949,Pirane,-25.73239,-59.10879,AR,ARG,Argentina,Buenos Aires,19124,America/Argentina/Cordoba
